Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle,
0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested! Click next when you are ready to begin.",Initial_Instruct,Instruct1,
0,Instruct,User,-,You will now begin the study. Click next when you are ready to begin.,,Instruct16,
2,Study_SF,2.5,2.5,,Window,Win_1,
3,Study_SF,2.5,2.5,,Window,Win_2,
4,Study_SF,2.5,2.5,,Window,Win_3,
5,Study_SF,2.5,2.5,,Window,Win_4,
6,Study_SF,2.5,2.5,,Window,Win_5,
7,Study_SF,2.5,2.5,,Window,Win_6,
8,Study_SF,2.5,2.5,,Window,Win_7,
9,Study_SF,2.5,2.5,,Window,Win_8,
10,Study_SF,2.5,2.5,,Window,Win_9,
11,Study_SF,2.5,2.5,,Window,Win_10,
12,Study_SF,2.5,2.5,,Window,Win_11,
13,Study_SF,2.5,2.5,,Window,Win_12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
14,Study,2.5,2.5,,Rough,R1,
15,Study,2.5,2.5,,Rough,R2,
16,Study,2.5,2.5,,Rough,R3,
17,Study,2.5,2.5,,Rough,R4,
18,Study,2.5,2.5,,Rough,R5,
19,Study,2.5,2.5,,Rough,R6,
20,Study,2.5,2.5,,Rough,R7,
21,Study,2.5,2.5,,Rough,R8,
22,Study,2.5,2.5,,Rough,R9,
23,Study,2.5,2.5,,Rough,R10,
24,Study,2.5,2.5,,Rough,R11,
25,Study,2.5,2.5,,Rough,R12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
26,Study_SF,2.5,2.5,,Anger,A1,
27,Study_SF,2.5,2.5,,Anger,A2,
28,Study_SF,2.5,2.5,,Anger,A3,
29,Study_SF,2.5,2.5,,Anger,A4,
30,Study_SF,2.5,2.5,,Anger,A5,
31,Study_SF,2.5,2.5,,Anger,A6,
32,Study_SF,2.5,2.5,,Anger,A7,
33,Study_SF,2.5,2.5,,Anger,A8,
34,Study_SF,2.5,2.5,,Anger,A9,
35,Study_SF,2.5,2.5,,Anger,A10,
36,Study_SF,2.5,2.5,,Anger,A11,
37,Study_SF,2.5,2.5,,Anger,A12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
38,Study,2.5,2.5,,Trash,T1,
39,Study,2.5,2.5,,Trash,T2,
40,Study,2.5,2.5,,Trash,T3,
41,Study,2.5,2.5,,Trash,T4,
42,Study,2.5,2.5,,Trash,T5,
43,Study,2.5,2.5,,Trash,T6,
44,Study,2.5,2.5,,Trash,T7,
45,Study,2.5,2.5,,Trash,T8,
46,Study,2.5,2.5,,Trash,T9,
47,Study,2.5,2.5,,Trash,T10,
48,Study,2.5,2.5,,Trash,T11,
49,Study,2.5,2.5,,Trash,T12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
50,Study_SF,2.5,2.5,,Doctor,D1,
51,Study_SF,2.5,2.5,,Doctor,D2,
52,Study_SF,2.5,2.5,,Doctor,D3,
53,Study_SF,2.5,2.5,,Doctor,D4,
54,Study_SF,2.5,2.5,,Doctor,D5,
55,Study_SF,2.5,2.5,,Doctor,D6,
56,Study_SF,2.5,2.5,,Doctor,D7,
57,Study_SF,2.5,2.5,,Doctor,D8,
58,Study_SF,2.5,2.5,,Doctor,D9,
59,Study_SF,2.5,2.5,,Doctor,D10,
60,Study_SF,2.5,2.5,,Doctor,D11,
61,Study_SF,2.5,2.5,,Doctor,D12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
62,Study,2.5,2.5,,Slow,S1,
63,Study,2.5,2.5,,Slow,S2,
64,Study,2.5,2.5,,Slow,S3,
65,Study,2.5,2.5,,Slow,S4,
66,Study,2.5,2.5,,Slow,S5,
67,Study,2.5,2.5,,Slow,S6,
68,Study,2.5,2.5,,Slow,S7,
69,Study,2.5,2.5,,Slow,S8,
70,Study,2.5,2.5,,Slow,S9,
71,Study,2.5,2.5,,Slow,S10,
72,Study,2.5,2.5,,Slow,S11,
73,Study,2.5,2.5,,Slow,S12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
74,Study_SF,2.5,2.5,,River,RR1,
75,Study_SF,2.5,2.5,,River,RR2,
76,Study_SF,2.5,2.5,,River,RR3,
77,Study_SF,2.5,2.5,,River,RR4,
78,Study_SF,2.5,2.5,,River,RR5,
79,Study_SF,2.5,2.5,,River,RR6,
80,Study_SF,2.5,2.5,,River,RR7,
81,Study_SF,2.5,2.5,,River,RR8,
82,Study_SF,2.5,2.5,,River,RR9,
83,Study_SF,2.5,2.5,,River,RR10,
84,Study_SF,2.5,2.5,,River,RR11,
85,Study_SF,2.5,2.5,,River,RR12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
86,Study,2.5,2.5,,Bread,B1,
87,Study,2.5,2.5,,Bread,B2,
88,Study,2.5,2.5,,Bread,B3,
89,Study,2.5,2.5,,Bread,B4,
90,Study,2.5,2.5,,Bread,B5,
91,Study,2.5,2.5,,Bread,B6,
92,Study,2.5,2.5,,Bread,B7,
93,Study,2.5,2.5,,Bread,B8,
94,Study,2.5,2.5,,Bread,B9,
95,Study,2.5,2.5,,Bread,B10,
96,Study,2.5,2.5,,Bread,B11,
97,Study,2.5,2.5,,Bread,B12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
98,Study_SF,2.5,2.5,,Flag,F1,
99,Study_SF,2.5,2.5,,Flag,F2,
100,Study_SF,2.5,2.5,,Flag,F3,
101,Study_SF,2.5,2.5,,Flag,F4,
102,Study_SF,2.5,2.5,,Flag,F5,
103,Study_SF,2.5,2.5,,Flag,F6,
104,Study_SF,2.5,2.5,,Flag,F7,
105,Study_SF,2.5,2.5,,Flag,F8,
106,Study_SF,2.5,2.5,,Flag,F9,
107,Study_SF,2.5,2.5,,Flag,F10,
108,Study_SF,2.5,2.5,,Flag,F11,
109,Study_SF,2.5,2.5,,Flag,F12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
110,Study,2.5,2.5,,Shirt,SS1,
111,Study,2.5,2.5,,Shirt,SS2,
112,Study,2.5,2.5,,Shirt,SS3,
113,Study,2.5,2.5,,Shirt,SS4,
114,Study,2.5,2.5,,Shirt,SS5,
115,Study,2.5,2.5,,Shirt,SS6,
116,Study,2.5,2.5,,Shirt,SS7,
117,Study,2.5,2.5,,Shirt,SS8,
118,Study,2.5,2.5,,Shirt,SS9,
119,Study,2.5,2.5,,Shirt,SS10,
120,Study,2.5,2.5,,Shirt,SS11,
121,Study,2.5,2.5,,Shirt,SS12,
0,Instruct,User,-,You have completed this section. Please click next.,,Instruct166,
0,FreeRecall,30,30,"Please type as many words as you can that begin with the letter ""C"". The computer will automatically advance to the next screen in 30 seconds.",,FILLER,
0,Instruct,User,-,You have completed this section. Please click next.,,Instruct166,
