Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle,
0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested! Click next when you are ready to begin.",Initial_Instruct,Instruct1,
0,Instruct,User,-,You will now begin the study. Click next when you are ready to begin.,,Instruct16,
2,Study_SF,2.5,2.5,,Smell,Win_1,
3,Study_SF,2.5,2.5,,Smell,Win_2,
4,Study_SF,2.5,2.5,,Smell,Win_3,
5,Study_SF,2.5,2.5,,Smell,Win_4,
6,Study_SF,2.5,2.5,,Smell,Win_5,
7,Study_SF,2.5,2.5,,Smell,Win_6,
8,Study_SF,2.5,2.5,,Smell,Win_7,
9,Study_SF,2.5,2.5,,Smell,Win_8,
10,Study_SF,2.5,2.5,,Smell,Win_9,
11,Study_SF,2.5,2.5,,Smell,Win_10,
12,Study_SF,2.5,2.5,,Smell,Win_11,
13,Study_SF,2.5,2.5,,Smell,Win_12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
14,Study,2.5,2.5,,Soft,R1,
15,Study,2.5,2.5,,Soft,R2,
16,Study,2.5,2.5,,Soft,R3,
17,Study,2.5,2.5,,Soft,R4,
18,Study,2.5,2.5,,Soft,R5,
19,Study,2.5,2.5,,Soft,R6,
20,Study,2.5,2.5,,Soft,R7,
21,Study,2.5,2.5,,Soft,R8,
22,Study,2.5,2.5,,Soft,R9,
23,Study,2.5,2.5,,Soft,R10,
24,Study,2.5,2.5,,Soft,R11,
25,Study,2.5,2.5,,Soft,R12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
26,Study_SF,2.5,2.5,,Sweet,A1,
27,Study_SF,2.5,2.5,,Sweet,A2,
28,Study_SF,2.5,2.5,,Sweet,A3,
29,Study_SF,2.5,2.5,,Sweet,A4,
30,Study_SF,2.5,2.5,,Sweet,A5,
31,Study_SF,2.5,2.5,,Sweet,A6,
32,Study_SF,2.5,2.5,,Sweet,A7,
33,Study_SF,2.5,2.5,,Sweet,A8,
34,Study_SF,2.5,2.5,,Sweet,A9,
35,Study_SF,2.5,2.5,,Sweet,A10,
36,Study_SF,2.5,2.5,,Sweet,A11,
37,Study_SF,2.5,2.5,,Sweet,A12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
38,Study,2.5,2.5,,Chair,T1,
39,Study,2.5,2.5,,Chair,T2,
40,Study,2.5,2.5,,Chair,T3,
41,Study,2.5,2.5,,Chair,T4,
42,Study,2.5,2.5,,Chair,T5,
43,Study,2.5,2.5,,Chair,T6,
44,Study,2.5,2.5,,Chair,T7,
45,Study,2.5,2.5,,Chair,T8,
46,Study,2.5,2.5,,Chair,T9,
47,Study,2.5,2.5,,Chair,T10,
48,Study,2.5,2.5,,Chair,T11,
49,Study,2.5,2.5,,Chair,T12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
50,Study_SF,2.5,2.5,,Mountain,D1,
51,Study_SF,2.5,2.5,,Mountain,D2,
52,Study_SF,2.5,2.5,,Mountain,D3,
53,Study_SF,2.5,2.5,,Mountain,D4,
54,Study_SF,2.5,2.5,,Mountain,D5,
55,Study_SF,2.5,2.5,,Mountain,D6,
56,Study_SF,2.5,2.5,,Mountain,D7,
57,Study_SF,2.5,2.5,,Mountain,D8,
58,Study_SF,2.5,2.5,,Mountain,D9,
59,Study_SF,2.5,2.5,,Mountain,D10,
60,Study_SF,2.5,2.5,,Mountain,D11,
61,Study_SF,2.5,2.5,,Mountain,D12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
62,Study,2.5,2.5,,Music,S1,
63,Study,2.5,2.5,,Music,S2,
64,Study,2.5,2.5,,Music,S3,
65,Study,2.5,2.5,,Music,S4,
66,Study,2.5,2.5,,Music,S5,
67,Study,2.5,2.5,,Music,S6,
68,Study,2.5,2.5,,Music,S7,
69,Study,2.5,2.5,,Music,S8,
70,Study,2.5,2.5,,Music,S9,
71,Study,2.5,2.5,,Music,S10,
72,Study,2.5,2.5,,Music,S11,
73,Study,2.5,2.5,,Music,S12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
74,Study_SF,2.5,2.5,,Rubber,RR1,
75,Study_SF,2.5,2.5,,Rubber,RR2,
76,Study_SF,2.5,2.5,,Rubber,RR3,
77,Study_SF,2.5,2.5,,Rubber,RR4,
78,Study_SF,2.5,2.5,,Rubber,RR5,
79,Study_SF,2.5,2.5,,Rubber,RR6,
80,Study_SF,2.5,2.5,,Rubber,RR7,
81,Study_SF,2.5,2.5,,Rubber,RR8,
82,Study_SF,2.5,2.5,,Rubber,RR9,
83,Study_SF,2.5,2.5,,Rubber,RR10,
84,Study_SF,2.5,2.5,,Rubber,RR11,
85,Study_SF,2.5,2.5,,Rubber,RR12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
86,Study,2.5,2.5,,Foot,B1,
87,Study,2.5,2.5,,Foot,B2,
88,Study,2.5,2.5,,Foot,B3,
89,Study,2.5,2.5,,Foot,B4,
90,Study,2.5,2.5,,Foot,B5,
91,Study,2.5,2.5,,Foot,B6,
92,Study,2.5,2.5,,Foot,B7,
93,Study,2.5,2.5,,Foot,B8,
94,Study,2.5,2.5,,Foot,B9,
95,Study,2.5,2.5,,Foot,B10,
96,Study,2.5,2.5,,Foot,B11,
97,Study,2.5,2.5,,Foot,B12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
98,Study_SF,2.5,2.5,,Girl,F1,
99,Study_SF,2.5,2.5,,Girl,F2,
100,Study_SF,2.5,2.5,,Girl,F3,
101,Study_SF,2.5,2.5,,Girl,F4,
102,Study_SF,2.5,2.5,,Girl,F5,
103,Study_SF,2.5,2.5,,Girl,F6,
104,Study_SF,2.5,2.5,,Girl,F7,
105,Study_SF,2.5,2.5,,Girl,F8,
106,Study_SF,2.5,2.5,,Girl,F9,
107,Study_SF,2.5,2.5,,Girl,F10,
108,Study_SF,2.5,2.5,,Girl,F11,
109,Study_SF,2.5,2.5,,Girl,F12,
0,Instruct,User,3,You will now be presented with a new study list. Click next when you are ready to begin.,,NEXT_LIST,
110,Study,2.5,2.5,,Black,SS1,
111,Study,2.5,2.5,,Black,SS2,
112,Study,2.5,2.5,,Black,SS3,
113,Study,2.5,2.5,,Black,SS4,
114,Study,2.5,2.5,,Black,SS5,
115,Study,2.5,2.5,,Black,SS6,
116,Study,2.5,2.5,,Black,SS7,
117,Study,2.5,2.5,,Black,SS8,
118,Study,2.5,2.5,,Black,SS9,
119,Study,2.5,2.5,,Black,SS10,
120,Study,2.5,2.5,,Black,SS11,
121,Study,2.5,2.5,,Black,SS12,
0,Instruct,User,-,You have completed this section. Please click next.,,Instruct166,
0,FreeRecall,30,30,"Please type as many words as you can that begin with the letter ""C"". The computer will automatically advance to the next screen in 30 seconds.",,FILLER,
0,Instruct,User,-,You have completed this section. Please click next.,,Instruct166,
