Cue,Answer,Shuffle,Stimuli Notes,Value
aroma,,Win_1,SF,
scent,,Win_2,SF,
whiff,,Win_3,SF,
stench,,Win_4,SF,
reek,,Win_5,SF,
sniff,,Win_6,SF,
perfume,,Win_7,SF,
fragrance,,Win_8,SF,
nose,,Win_9,SF,
rose,,Win_10,SF,
salts,,Win_11,SF,
breathe,,Win_12,SF,
hard,,R1,Standard,
loud,,R2,Standard,
tender,,R3,Standard,
fluffy,,R4,Standard,
pillow,,R5,Standard,
downy,,R6,Standard,
plush,,R7,Standard,
cotton,,R8,Standard,
skin,,R9,Standard,
fur,,R10,Standard,
touch,,R11,Standard,
furry,,R12,Standard,
honey,,A1,SF,
bitter,,A2,SF,
sugar,,A3,SF,
sour,,A4,SF,
candy,,A5,SF,
tart,,A6,SF,
chocolate,,A7,SF,
nice,,A8,SF,
taste,,A9,SF,
cake,,A10,SF,
good,,A11,SF,
tooth,,A12,SF,
table,,T1,Standard,
swivel,,T2,Standard,
rocking,,T3,Standard,
recliner,,T4,Standard,
seat,,T5,Standard,
stool,,T6,Standard,
desk,,T7,Standard,
couch,,T8,Standard,
sit,,T9,Standard,
sofa,,T10,Standard,
bench,,T11,Standard,
sitting,,T12,Standard,
climber,,D1,SF,
hill,,D2,SF,
climb,,D3,SF,
molehill,,D4,SF,
peak,,D5,SF,
valley,,D6,SF,
summit,,D7,SF,
steep,,D8,SF,
ski,,D9,SF,
bike,,D10,SF,
goat,,D11,SF,
glacier,,D12,SF,
band,,S1,Standard,
concert,,S2,Standard,
jazz,,S3,Standard,
symphony,,S4,Standard,
orchestra,,S5,Standard,
rhythm,,S6,Standard,
radio,,S7,Standard,
melody,,S8,Standard,
piano,,S9,Standard,
sound,,S10,Standard,
instrument,,S11,Standard,
note,,S12,Standard,
foam,,RR1,SF,
latex,,RR2,SF,
galoshes,,RR3,SF,
tire,,RR4,SF,
flexible,,RR5,SF,
elastic,,RR6,SF,
gloves,,RR7,SF,
eraser,,RR8,SF,
bounce,,RR9,SF,
ball,,RR10,SF,
soles,,RR11,SF,
springy,,RR12,SF,
toe,,B1,Standard,
inch,,B2,Standard,
ankle,,B3,Standard,
shoe,,B4,Standard,
sandals,,B5,Standard,
sock,,B6,Standard,
hand,,B7,Standard,
boot,,B8,Standard,
yard,,B9,Standard,
kick,,B10,Standard,
knee,,B11,Standard,
walk,,B12,Standard,
boy,,F1,SF,
dolls,,F2,SF,
pretty,,F3,SF,
female,,F4,SF,
dress,,F5,SF,
date,,F6,SF,
beautiful,,F7,SF,
daughter,,F8,SF,
sister,,F9,SF,
cute,,F10,SF,
niece,,F11,SF,
young,,F12,SF,
white,,SS1,Standard,
gray,,SS2,Standard,
brown,,SS3,Standard,
coal,,SS4,Standard,
dark,,SS5,Standard,
color,,SS6,Standard,
funeral,,SS7,Standard,
blue,,SS8,Standard,
charred,,SS9,Standard,
ink,,SS10,Standard,
death,,SS11,Standard,
cat,,SS12,Standard,
