Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
62fbe4c86d484357b6adbc36,0kluiz1lok,Ex2A_Prolific,1,1,2023-12-20T20:29:21+00:00,596.02164292336,4,Stim_B.csv,G_JOL_B.csv,"Global D",Global,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested!",Initial_Instruct,Instruct1,595647,,,-1,-1,,,,,0.51
62fbe4c86d484357b6adbc36,0kluiz1lok,Ex2A_Prolific,1,2,2023-12-20T20:32:26+00:00,184.63816308975,4,Stim_B.csv,G_JOL_B.csv,"Global D",Global,,,,,,0,Instruct,User,5,"After studying each LIST of words, you will be asked to rate your ability to remember ALL of the words in the list on a later test. You will make these ratings using a scale of 0 to 100. A rating of 0 = WILL NOT REMEMBER, while a rating of 100 = WILL DEFINITELY REMEMBER. Please try to be as accurate as possible with these ratings!",,BLIPBLOOP,184064,,,-1,-1,,,,,0.601
62fbe4c86d484357b6adbc36,0kluiz1lok,Ex2A_Prolific,1,3,2023-12-20T20:32:29+00:00,3.051796913147,4,Stim_B.csv,G_JOL_B.csv,"Global D",Global,,,,,,0,Instruct,User,-,"You will now begin the study. Click next when you are ready to begin.",,Instruct16,2428,,,-1,-1,,,,,1
62fbe4c86d484357b6adbc36,0kluiz1lok,Ex2A_Prolific,1,4,2023-12-20T20:32:32+00:00,2.8031139373779,4,Stim_B.csv,G_JOL_B.csv,"Global D",Global,Plum,Plum,R1,Related,9,5,Study,User,1,,Related,R1,2312,,,-1,-1,,,,,1
62fbe4c86d484357b6adbc36,0kluiz1lok,Ex2A_Prolific,1,5,2023-12-20T20:32:41+00:00,9.1613020896912,4,Stim_B.csv,G_JOL_B.csv,"Global D",Global,Mango,Mango,R1,Related,10,6,Study,User,1,,Related,R1,8677,,,-1,-1,,,,,1
62fbe4c86d484357b6adbc36,0kluiz1lok,Ex2A_Prolific,1,6,2023-12-20T20:32:48+00:00,7.6068089008331,4,Stim_B.csv,G_JOL_B.csv,"Global D",Global,Strawberry,Strawberry,R1,Related,7,11,Study,User,1,,Related,R1,7113,,,-1,-1,,,,,1
62fbe4c86d484357b6adbc36,0kluiz1lok,Ex2A_Prolific,1,7,2023-12-20T20:32:50+00:00,1.964830160141,4,Stim_B.csv,G_JOL_B.csv,"Global D",Global,Banana,Banana,R1,Related,3,2,Study,User,1,,Related,R1,1702,,,-1,-1,,,,,1
62fbe4c86d484357b6adbc36,0kluiz1lok,Ex2A_Prolific,1,8,2023-12-20T20:33:15+00:00,24.376253843307,4,Stim_B.csv,G_JOL_B.csv,"Global D",Global,Cherry,Cherry,R1,Related,11,13,Study,User,1,,Related,R1,23882,,,-1,-1,,,,,0.258
62fbe4c86d484357b6adbc36,0kluiz1lok,Ex2A_Prolific,1,9,2023-12-20T20:33:17+00:00,1.9352400302887,4,Stim_B.csv,G_JOL_B.csv,"Global D",Global,Pear,Pear,R1,Related,5,10,Study,User,1,,Related,R1,1445,,,-1,-1,,,,,1
62fbe4c86d484357b6adbc36,0kluiz1lok,Ex2A_Prolific,1,10,2023-12-20T20:33:19+00:00,2.2474679946899,4,Stim_B.csv,G_JOL_B.csv,"Global D",Global,Lemon,Lemon,R1,Related,12,12,Study,User,1,,Related,R1,1980,,,-1,-1,,,,,1
62fbe4c86d484357b6adbc36,0kluiz1lok,Ex2A_Prolific,1,11,2023-12-20T20:33:21+00:00,1.8832321166992,4,Stim_B.csv,G_JOL_B.csv,"Global D",Global,Peach,Peach,R1,Related,6,3,Study,User,1,,Related,R1,1616,,,-1,-1,,,,,1
62fbe4c86d484357b6adbc36,0kluiz1lok,Ex2A_Prolific,1,12,2023-12-20T20:33:23+00:00,1.8824620246887,4,Stim_B.csv,G_JOL_B.csv,"Global D",Global,Apple,Apple,R1,Related,1,4,Study,User,1,,Related,R1,1381,,,-1,-1,,,,,1
62fbe4c86d484357b6adbc36,0kluiz1lok,Ex2A_Prolific,1,13,2023-12-20T20:33:24+00:00,1.4463629722595,4,Stim_B.csv,G_JOL_B.csv,"Global D",Global,Orange,Orange,R1,Related,2,9,Study,User,1,,Related,R1,1178,,,-1,-1,,,,,1
62fbe4c86d484357b6adbc36,0kluiz1lok,Ex2A_Prolific,1,14,2023-12-20T20:33:26+00:00,1.5144798755646,4,Stim_B.csv,G_JOL_B.csv,"Global D",Global,Grape,Grape,R1,Related,4,7,Study,User,1,,Related,R1,1233,,,-1,-1,,,,,1
