Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
652414a8df1d3adfddec9600,5e0ybwyk2a,Ex2A_Prolific,1,1,2023-12-20T19:10:12+00:00,5.7384970188141,1,Stim_A.csv,G_JOL_A.csv,"Global A",Global,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully.",Initial_Instruct,Instruct1,5535,,,-1,-1,,,,,1
652414a8df1d3adfddec9600,5e0ybwyk2a,Ex2A_Prolific,1,2,2023-12-20T19:10:18+00:00,6.6754410266876,1,Stim_A.csv,G_JOL_A.csv,"Global A",Global,,,,,,0,Instruct,User,5,"After studying each LIST of words, you will be asked to rate your ability to remember ALL of the words in the list on a later test. You will make these ratings using a scale of 0 to 100. A rating of 0 = WILL NOT REMEMBER, while a rating of 100 = WILL DEFINITELY REMEMBER. Please try to be as accurate as possible with these ratings!",,BLIPBLOOP,6454,,,-1,-1,,,,,1
652414a8df1d3adfddec9600,5e0ybwyk2a,Ex2A_Prolific,1,3,2023-12-20T19:10:20+00:00,1.9339420795441,1,Stim_A.csv,G_JOL_A.csv,"Global A",Global,,,,,,0,Instruct,User,-,"You will now begin the study. Click next when you are ready to begin.",,Instruct16,1681,,,-1,-1,,,,,1
652414a8df1d3adfddec9600,5e0ybwyk2a,Ex2A_Prolific,1,4,2023-12-20T19:10:23+00:00,2.591817855835,1,Stim_A.csv,G_JOL_A.csv,"Global A",Global,Mayor,Mayor,U1,Unrelated,14,25,Study,User,1,,Unrelated,U1,2364,,,-1,-1,,,,,1
652414a8df1d3adfddec9600,5e0ybwyk2a,Ex2A_Prolific,1,5,2023-12-20T19:10:25+00:00,2.0141940116882,1,Stim_A.csv,G_JOL_A.csv,"Global A",Global,Rifle,Rifle,U1,Unrelated,13,15,Study,User,1,,Unrelated,U1,1783,,,-1,-1,,,,,0.111
652414a8df1d3adfddec9600,5e0ybwyk2a,Ex2A_Prolific,1,6,2023-12-20T19:10:27+00:00,1.6089091300964,1,Stim_A.csv,G_JOL_A.csv,"Global A",Global,Ballet,Ballet,U1,Unrelated,24,22,Study,User,1,,Unrelated,U1,1394,,,-1,-1,,,,,1
652414a8df1d3adfddec9600,5e0ybwyk2a,Ex2A_Prolific,1,7,2023-12-20T19:10:28+00:00,1.4262478351593,1,Stim_A.csv,G_JOL_A.csv,"Global A",Global,Guitar,Guitar,U1,Unrelated,19,21,Study,User,1,,Unrelated,U1,1203,,,-1,-1,,,,,1
652414a8df1d3adfddec9600,5e0ybwyk2a,Ex2A_Prolific,1,8,2023-12-20T19:10:30+00:00,1.5849661827087,1,Stim_A.csv,G_JOL_A.csv,"Global A",Global,Parrot,Parrot,U1,Unrelated,21,23,Study,User,1,,Unrelated,U1,1343,,,-1,-1,,,,,1
652414a8df1d3adfddec9600,5e0ybwyk2a,Ex2A_Prolific,1,9,2023-12-20T19:10:31+00:00,1.5471189022064,1,Stim_A.csv,G_JOL_A.csv,"Global A",Global,Pants,Pants,U1,Unrelated,17,16,Study,User,1,,Unrelated,U1,1327,,,-1,-1,,,,,1
652414a8df1d3adfddec9600,5e0ybwyk2a,Ex2A_Prolific,1,10,2023-12-20T19:10:32+00:00,1.3263170719147,1,Stim_A.csv,G_JOL_A.csv,"Global A",Global,Milk,Milk,U1,Unrelated,22,19,Study,User,1,,Unrelated,U1,1117,,,-1,-1,,,,,1
