Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,1,2023-12-20T20:16:22+00:00,16.943724155426,11,Stim_A.csv,Read_B.csv,"Read C",Read,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested! Click next when you are ready to begin.",Initial_Instruct,Instruct1,16722,,,-1,-1,,,,0.179
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,2,2023-12-20T20:16:23+00:00,1.5684180259705,11,Stim_A.csv,Read_B.csv,"Read C",Read,,,,,,0,Instruct,User,-,"You will now begin the study. Click next when you are ready to begin.",,Instruct16,1196,,,-1,-1,,,,1
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,3,2023-12-20T20:16:25+00:00,2.0780320167542,11,Stim_A.csv,Read_B.csv,"Read C",Read,Glacier,Glacier,R1,Related,12,8,Study,User,1,,Unrelated,U1,1706,,,-1,-1,,,,1
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,4,2023-12-20T20:16:27+00:00,1.4519608020782,11,Stim_A.csv,Read_B.csv,"Read C",Read,Ocean,Ocean,R1,Related,8,11,Study,User,1,,Unrelated,U1,1084,,,-1,-1,,,,1
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,5,2023-12-20T20:16:28+00:00,1.5685560703278,11,Stim_A.csv,Read_B.csv,"Read C",Read,Rock,Rock,R1,Related,5,9,Study,User,1,,Unrelated,U1,1202,,,-1,-1,,,,1
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,6,2023-12-20T20:16:30+00:00,1.4985771179199,11,Stim_A.csv,Read_B.csv,"Read C",Read,Mountain,Mountain,R1,Related,7,10,Study,User,1,,Unrelated,U1,1120,,,-1,-1,,,,1
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,7,2023-12-20T20:16:32+00:00,1.6184208393097,11,Stim_A.csv,Read_B.csv,"Read C",Read,Cave,Cave,R1,Related,11,7,Study,User,1,,Unrelated,U1,1225,,,-1,-1,,,,1
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,8,2023-12-20T20:16:33+00:00,1.5154550075531,11,Stim_A.csv,Read_B.csv,"Read C",Read,Valley,Valley,R1,Related,1,13,Study,User,1,,Unrelated,U1,1130,,,-1,-1,,,,1
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,9,2023-12-20T20:16:34+00:00,1.4083480834961,11,Stim_A.csv,Read_B.csv,"Read C",Read,River,River,R1,Related,2,5,Study,User,1,,Unrelated,U1,1039,,,-1,-1,,,,1
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,10,2023-12-20T20:16:36+00:00,1.5201740264893,11,Stim_A.csv,Read_B.csv,"Read C",Read,Canyon,Canyon,R1,Related,3,6,Study,User,1,,Unrelated,U1,1148,,,-1,-1,,,,1
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,11,2023-12-20T20:16:37+00:00,1.4626610279083,11,Stim_A.csv,Read_B.csv,"Read C",Read,Volcano,Volcano,R1,Related,4,4,Study,User,1,,Unrelated,U1,1085,,,-1,-1,,,,1
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,12,2023-12-20T20:16:39+00:00,1.3959279060364,11,Stim_A.csv,Read_B.csv,"Read C",Read,Lake,Lake,R1,Related,10,12,Study,User,1,,Unrelated,U1,1023,,,-1,-1,,,,1
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,13,2023-12-20T20:16:40+00:00,1.5079030990601,11,Stim_A.csv,Read_B.csv,"Read C",Read,Island,Island,R1,Related,9,3,Study,User,1,,Unrelated,U1,1136,,,-1,-1,,,,1
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,14,2023-12-20T20:16:42+00:00,1.3822247982025,11,Stim_A.csv,Read_B.csv,"Read C",Read,Hill,Hill,R1,Related,6,2,Study,User,1,,Unrelated,U1,1015,,,-1,-1,,,,1
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,15,2023-12-20T20:16:43+00:00,1.5168941020966,11,Stim_A.csv,Read_B.csv,"Read C",Read,,,,,,0,Instruct,User,-,"You have completed this section. Please click next.",,Instruct166,1155,,,-1,-1,,,,1
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,16,2023-12-20T20:17:14+00:00,30.37384390831,11,Stim_A.csv,Read_B.csv,"Read C",Read,,,,,,0,FreeRecall,30,30,"Please type as many words as you can that begin with the letter ""M"". The computer will automatically advance to the next screen in 30 seconds.",Unrelated,FILLER,30000,"Mountain, Mum, massive, meaning, man, mellow, marshmallow, mean, mint, mince, mop, moped, missle,",0,5132,29941,0,0,,1
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,17,2023-12-20T20:17:17+00:00,3.2190251350403,11,Stim_A.csv,Read_B.csv,"Read C",Read,,,,,,0,Instruct,User,-,"You have completed this section. Please click next.",,Instruct166,2846,,,-1,-1,,,,1
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,18,2023-12-20T20:18:22+00:00,65.652143955231,11,Stim_A.csv,Read_B.csv,"Read C",Read,,,,,,0,FreeRecall,65,65,"Please type from memory the words studied in the previous list. Spelling will not count against you and you can recall the words in any order. This test is timed for ONE MINUTE, and the computer will automatically advance once time is up.",Unrelated,RECALL_Test1,65001,"Ocean, Mountain, Rock, Cave, Glacier, Canyon",0,2677,8244,0,0,,0.776
5c92f797803bff0017fef8dd,jgtixx1l34,Ex2A_Prolific,1,19,2023-12-20T20:18:27+00:00,4.1369910240173,11,Stim_A.csv,Read_B.csv,"Read C",Read,,,,,,0,Instruct,User,3,"You will now be presented with a new study list. Click next when you are ready to begin.",,NEXT_LIST,3751,,,-1,-1,,,,1
