Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,1,2023-11-10T04:57:17+00:00,6.2830398082733,11,Stim_A.csv,Read_B.csv,"Read C",Read,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested! Click next to continue.",Initial_Instruct,Instruct1,,6018,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,2,2023-11-10T04:57:20+00:00,3.0262961387634,11,Stim_A.csv,Read_B.csv,"Read C",Read,,,,,,0,Instruct,User,-,"You will now begin the study. Click next when you are ready to begin.",,Instruct16,,2878,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,3,2023-11-10T04:57:22+00:00,2.0542659759521,11,Stim_A.csv,Read_B.csv,"Read C",Read,Rock,Rock,R1,Related,5,9,Study,User,-,,Unrelated,U1,,1910,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,4,2023-11-10T04:57:24+00:00,1.3819770812988,11,Stim_A.csv,Read_B.csv,"Read C",Read,Hill,Hill,R1,Related,6,11,Study,User,-,,Unrelated,U1,,1241,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,5,2023-11-10T04:57:25+00:00,1.2003929615021,11,Stim_A.csv,Read_B.csv,"Read C",Read,Mountain,Mountain,R1,Related,7,2,Study,User,-,,Unrelated,U1,,1061,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,6,2023-11-10T04:57:26+00:00,1.1585650444031,11,Stim_A.csv,Read_B.csv,"Read C",Read,Canyon,Canyon,R1,Related,3,3,Study,User,-,,Unrelated,U1,,1016,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,7,2023-11-10T04:57:27+00:00,1.1513328552246,11,Stim_A.csv,Read_B.csv,"Read C",Read,Island,Island,R1,Related,9,10,Study,User,-,,Unrelated,U1,,1020,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,8,2023-11-10T04:57:29+00:00,1.3013560771942,11,Stim_A.csv,Read_B.csv,"Read C",Read,Valley,Valley,R1,Related,1,12,Study,User,-,,Unrelated,U1,,1169,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,9,2023-11-10T04:57:30+00:00,1.2839260101318,11,Stim_A.csv,Read_B.csv,"Read C",Read,Glacier,Glacier,R1,Related,12,8,Study,User,-,,Unrelated,U1,,1143,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,10,2023-11-10T04:57:31+00:00,1.1921808719635,11,Stim_A.csv,Read_B.csv,"Read C",Read,River,River,R1,Related,2,13,Study,User,-,,Unrelated,U1,,1054,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,11,2023-11-10T04:57:32+00:00,1.2757451534271,11,Stim_A.csv,Read_B.csv,"Read C",Read,Ocean,Ocean,R1,Related,8,5,Study,User,-,,Unrelated,U1,,1138,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,12,2023-11-10T04:57:34+00:00,1.2224910259247,11,Stim_A.csv,Read_B.csv,"Read C",Read,Lake,Lake,R1,Related,10,6,Study,User,-,,Unrelated,U1,,1077,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,13,2023-11-10T04:57:35+00:00,1.3318898677826,11,Stim_A.csv,Read_B.csv,"Read C",Read,Volcano,Volcano,R1,Related,4,7,Study,User,-,,Unrelated,U1,,1197,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,14,2023-11-10T04:57:36+00:00,1.0927670001984,11,Stim_A.csv,Read_B.csv,"Read C",Read,Cave,Cave,R1,Related,11,4,Study,User,-,,Unrelated,U1,,953,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,15,2023-11-10T04:57:41+00:00,4.4777879714966,11,Stim_A.csv,Read_B.csv,"Read C",Read,,,,,,0,Instruct,User,3,"You will now be presented with a new study list. Click next when you are ready to begin.",,NEXT_LIST,,4335,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,16,2023-11-10T04:57:42+00:00,1.6111149787903,11,Stim_A.csv,Read_B.csv,"Read C",Read,Mayor,Mayor,U1,Unrelated,14,22,Study,User,-,,Related,R1,,1471,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,17,2023-11-10T04:57:43+00:00,0.84694814682007,11,Stim_A.csv,Read_B.csv,"Read C",Read,Dollar,Dollar,U1,Unrelated,20,24,Study,User,-,,Related,R1,,706,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,18,2023-11-10T04:57:44+00:00,1.0976870059967,11,Stim_A.csv,Read_B.csv,"Read C",Read,Pants,Pants,U1,Unrelated,17,23,Study,User,-,,Related,R1,,959,,,-1,-1,,,,1
M20311413,fiuaypjygt,"DRM Reactivity 1_MSU",1,19,2023-11-10T04:57:45+00:00,1.0744059085846,11,Stim_A.csv,Read_B.csv,"Read C",Read,Parrot,Parrot,U1,Unrelated,21,16,Study,User,-,,Related,R1,,927,,,-1,-1,,,,1
