Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
M20312217,qsj8yftmte,"DRM Reactivity 1_MSU",1,1,2023-11-12T17:37:47+00:00,5.3026099205017,12,Stim_B.csv,Read_B.csv,"Read D",Read,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested! Click next to continue.",Initial_Instruct,Instruct1,,5054,,,-1,-1,,,,1
M20312217,qsj8yftmte,"DRM Reactivity 1_MSU",1,2,2023-11-12T17:37:49+00:00,2.1335220336914,12,Stim_B.csv,Read_B.csv,"Read D",Read,,,,,,0,Instruct,User,-,"You will now begin the study. Click next when you are ready to begin.",,Instruct16,,1905,,,-1,-1,,,,1
M20312217,qsj8yftmte,"DRM Reactivity 1_MSU",1,3,2023-11-12T17:37:52+00:00,2.4324419498444,12,Stim_B.csv,Read_B.csv,"Read D",Read,Strawberry,Strawberry,R1,Related,7,4,Study,User,-,,Unrelated,U1,,2193,,,-1,-1,,,,1
M20312217,qsj8yftmte,"DRM Reactivity 1_MSU",1,4,2023-11-12T17:37:54+00:00,2.3614449501038,12,Stim_B.csv,Read_B.csv,"Read D",Read,Grape,Grape,R1,Related,4,3,Study,User,-,,Unrelated,U1,,2136,,,-1,-1,,,,1
M20312217,qsj8yftmte,"DRM Reactivity 1_MSU",1,5,2023-11-12T17:37:56+00:00,2.4528019428253,12,Stim_B.csv,Read_B.csv,"Read D",Read,Banana,Banana,R1,Related,3,7,Study,User,-,,Unrelated,U1,,2232,,,-1,-1,,,,1
M20312217,qsj8yftmte,"DRM Reactivity 1_MSU",1,6,2023-11-12T17:38:01+00:00,4.3859341144562,12,Stim_B.csv,Read_B.csv,"Read D",Read,Peach,Peach,R1,Related,6,11,Study,User,-,,Unrelated,U1,,4082,,,-1,-1,,,,1
M20312217,qsj8yftmte,"DRM Reactivity 1_MSU",1,7,2023-11-12T17:38:06+00:00,4.805125951767,12,Stim_B.csv,Read_B.csv,"Read D",Read,Lemon,Lemon,R1,Related,12,10,Study,User,-,,Unrelated,U1,,4493,,,-1,-1,,,,1
M20312217,qsj8yftmte,"DRM Reactivity 1_MSU",1,8,2023-11-12T17:38:11+00:00,5.2321660518646,12,Stim_B.csv,Read_B.csv,"Read D",Read,Apple,Apple,R1,Related,1,2,Study,User,-,,Unrelated,U1,,4902,,,-1,-1,,,,1
M20312217,qsj8yftmte,"DRM Reactivity 1_MSU",1,9,2023-11-12T17:38:18+00:00,7.0181028842926,12,Stim_B.csv,Read_B.csv,"Read D",Read,Kiwi,Kiwi,R1,Related,8,13,Study,User,-,,Unrelated,U1,,6705,,,-1,-1,,,,1
M20312217,qsj8yftmte,"DRM Reactivity 1_MSU",1,10,2023-11-12T17:38:21+00:00,2.8298540115356,12,Stim_B.csv,Read_B.csv,"Read D",Read,Orange,Orange,R1,Related,2,9,Study,User,-,,Unrelated,U1,,2563,,,-1,-1,,,,1
M20312217,qsj8yftmte,"DRM Reactivity 1_MSU",1,11,2023-11-12T17:38:24+00:00,3.7313950061798,12,Stim_B.csv,Read_B.csv,"Read D",Read,Mango,Mango,R1,Related,10,6,Study,User,-,,Unrelated,U1,,3508,,,-1,-1,,,,1
M20312217,qsj8yftmte,"DRM Reactivity 1_MSU",1,12,2023-11-12T17:38:27+00:00,2.7120430469513,12,Stim_B.csv,Read_B.csv,"Read D",Read,Pear,Pear,R1,Related,5,8,Study,User,-,,Unrelated,U1,,2493,,,-1,-1,,,,1
M20312217,qsj8yftmte,"DRM Reactivity 1_MSU",1,13,2023-11-12T17:38:31+00:00,3.8206651210785,12,Stim_B.csv,Read_B.csv,"Read D",Read,Plum,Plum,R1,Related,9,5,Study,User,-,,Unrelated,U1,,3598,,,-1,-1,,,,1
M20312217,qsj8yftmte,"DRM Reactivity 1_MSU",1,14,2023-11-12T17:38:34+00:00,2.903844833374,12,Stim_B.csv,Read_B.csv,"Read D",Read,Cherry,Cherry,R1,Related,11,12,Study,User,-,,Unrelated,U1,,2672,,,-1,-1,,,,1
M20312217,qsj8yftmte,"DRM Reactivity 1_MSU",1,15,2023-11-12T17:38:38+00:00,4.2255880832672,12,Stim_B.csv,Read_B.csv,"Read D",Read,,,,,,0,Instruct,User,3,"You will now be presented with a new study list. Click next when you are ready to begin.",,NEXT_LIST,,3907,,,-1,-1,,,,1
