Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
M20317208,1cixqmmh9o,"DRM Reactivity 1_MSU",1,1,2023-10-13T18:39:33+00:00,6.1992650032043,9,Stim_A.csv,Read_A.csv,"Read A",Read,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested! Click next to continue.",Initial_Instruct,Instruct1,,5981,,,-1,-1,,,,1
M20317208,1cixqmmh9o,"DRM Reactivity 1_MSU",1,2,2023-10-13T18:39:35+00:00,2.4902651309967,9,Stim_A.csv,Read_A.csv,"Read A",Read,,,,,,0,Instruct,User,-,"You will now begin the study. Click next when you are ready to begin.",,Instruct16,,2323,,,-1,-1,,,,1
M20317208,1cixqmmh9o,"DRM Reactivity 1_MSU",1,3,2023-10-13T18:39:38+00:00,3.3197209835052,9,Stim_A.csv,Read_A.csv,"Read A",Read,Hill,Hill,R1,Related,6,5,Study,User,-,,Related,R1,,3096,,,-1,-1,,,,1
M20317208,1cixqmmh9o,"DRM Reactivity 1_MSU",1,4,2023-10-13T18:39:44+00:00,5.5456728935242,9,Stim_A.csv,Read_A.csv,"Read A",Read,Glacier,Glacier,R1,Related,12,9,Study,User,-,,Related,R1,,5332,,,-1,-1,,,,1
M20317208,1cixqmmh9o,"DRM Reactivity 1_MSU",1,5,2023-10-13T18:39:52+00:00,7.8789150714874,9,Stim_A.csv,Read_A.csv,"Read A",Read,Rock,Rock,R1,Related,5,6,Study,User,-,,Related,R1,,7659,,,-1,-1,,,,1
M20317208,1cixqmmh9o,"DRM Reactivity 1_MSU",1,6,2023-10-13T18:39:54+00:00,2.3863070011139,9,Stim_A.csv,Read_A.csv,"Read A",Read,River,River,R1,Related,2,7,Study,User,-,,Related,R1,,2232,,,-1,-1,,,,1
M20317208,1cixqmmh9o,"DRM Reactivity 1_MSU",1,7,2023-10-13T18:39:56+00:00,1.7294678688049,9,Stim_A.csv,Read_A.csv,"Read A",Read,Ocean,Ocean,R1,Related,8,10,Study,User,-,,Related,R1,,1564,,,-1,-1,,,,1
M20317208,1cixqmmh9o,"DRM Reactivity 1_MSU",1,8,2023-10-13T18:39:57+00:00,1.333554983139,9,Stim_A.csv,Read_A.csv,"Read A",Read,Island,Island,R1,Related,9,8,Study,User,-,,Related,R1,,1104,,,-1,-1,,,,1
M20317208,1cixqmmh9o,"DRM Reactivity 1_MSU",1,9,2023-10-13T18:40:00+00:00,2.5024890899658,9,Stim_A.csv,Read_A.csv,"Read A",Read,Valley,Valley,R1,Related,1,3,Study,User,-,,Related,R1,,2331,,,-1,-1,,,,1
M20317208,1cixqmmh9o,"DRM Reactivity 1_MSU",1,10,2023-10-13T18:40:02+00:00,1.8122079372406,9,Stim_A.csv,Read_A.csv,"Read A",Read,Lake,Lake,R1,Related,10,13,Study,User,-,,Related,R1,,1636,,,-1,-1,,,,1
M20317208,1cixqmmh9o,"DRM Reactivity 1_MSU",1,11,2023-10-13T18:40:03+00:00,1.1726009845734,9,Stim_A.csv,Read_A.csv,"Read A",Read,Volcano,Volcano,R1,Related,4,12,Study,User,-,,Related,R1,,943,,,-1,-1,,,,1
M20317208,1cixqmmh9o,"DRM Reactivity 1_MSU",1,12,2023-10-13T18:40:07+00:00,4.3125681877136,9,Stim_A.csv,Read_A.csv,"Read A",Read,Canyon,Canyon,R1,Related,3,4,Study,User,-,,Related,R1,,4050,,,-1,-1,,,,1
M20317208,1cixqmmh9o,"DRM Reactivity 1_MSU",1,13,2023-10-13T18:40:10+00:00,2.9959418773651,9,Stim_A.csv,Read_A.csv,"Read A",Read,Mountain,Mountain,R1,Related,7,11,Study,User,-,,Related,R1,,2850,,,-1,-1,,,,1
M20317208,1cixqmmh9o,"DRM Reactivity 1_MSU",1,14,2023-10-13T18:40:12+00:00,2.1363101005554,9,Stim_A.csv,Read_A.csv,"Read A",Read,Cave,Cave,R1,Related,11,2,Study,User,-,,Related,R1,,1916,,,-1,-1,,,,1
M20317208,1cixqmmh9o,"DRM Reactivity 1_MSU",1,15,2023-10-13T18:40:16+00:00,4.2450678348541,9,Stim_A.csv,Read_A.csv,"Read A",Read,,,,,,0,Instruct,User,3,"You will now be presented with a new study list. Click next when you are ready to begin.",,NEXT_LIST,,4094,,,-1,-1,,,,1
