Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
CatalinaTrevizo,6hnaem9vb1,DRM1_MSU,1,1,2023-11-17T21:52:41+00:00,6.1973249912262,1,Stim_A.csv,Read.csv,Read,A,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested! Click next when you are ready to begin.",Initial_Instruct,Instruct1,,5917,,,-1,-1,,,,1
CatalinaTrevizo,6hnaem9vb1,DRM1_MSU,1,2,2023-11-17T21:52:43+00:00,1.6589159965515,1,Stim_A.csv,Read.csv,Read,A,,,,,,0,Instruct,User,-,"You will now begin the study. Click next when you are ready to begin.",,Instruct16,,1317,,,-1,-1,,,,1
CatalinaTrevizo,6hnaem9vb1,DRM1_MSU,1,3,2023-11-17T21:52:44+00:00,1.7146000862122,1,Stim_A.csv,Read.csv,Read,A,pane,,Win_1,,,2,Study,User,-,,Window,Win_1,,1349,,,-1,-1,,,,1
CatalinaTrevizo,6hnaem9vb1,DRM1_MSU,1,4,2023-11-17T21:52:45+00:00,1.044282913208,1,Stim_A.csv,Read.csv,Read,A,sill,,Win_2,,,3,Study,User,-,,Window,Win_2,,678,,,-1,-1,,,,1
CatalinaTrevizo,6hnaem9vb1,DRM1_MSU,1,5,2023-11-17T21:52:47+00:00,1.8003189563751,1,Stim_A.csv,Read.csv,Read,A,shutter,,Win_3,,,4,Study,User,-,,Window,Win_3,,1479,,,-1,-1,,,,1
CatalinaTrevizo,6hnaem9vb1,DRM1_MSU,1,6,2023-11-17T21:52:52+00:00,5.1880900859833,1,Stim_A.csv,Read.csv,Read,A,curtain,,Win_4,,,5,Study,User,-,,Window,Win_4,,4831,,,-1,-1,,,,0.85
CatalinaTrevizo,6hnaem9vb1,DRM1_MSU,1,7,2023-11-17T21:52:54+00:00,1.5317130088806,1,Stim_A.csv,Read.csv,Read,A,door,,Win_5,,,6,Study,User,-,,Window,Win_5,,1151,,,-1,-1,,,,1
CatalinaTrevizo,6hnaem9vb1,DRM1_MSU,1,8,2023-11-17T21:52:55+00:00,1.2446329593658,1,Stim_A.csv,Read.csv,Read,A,ledge,,Win_6,,,7,Study,User,-,,Window,Win_6,,910,,,-1,-1,,,,1
CatalinaTrevizo,6hnaem9vb1,DRM1_MSU,1,9,2023-11-17T21:52:56+00:00,1.0756509304047,1,Stim_A.csv,Read.csv,Read,A,glass,,Win_7,,,8,Study,User,-,,Window,Win_7,,755,,,-1,-1,,,,1
CatalinaTrevizo,6hnaem9vb1,DRM1_MSU,1,10,2023-11-17T21:52:57+00:00,1.1943359375,1,Stim_A.csv,Read.csv,Read,A,view,,Win_8,,,9,Study,User,-,,Window,Win_8,,854,,,-1,-1,,,,1
