Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
65a961d8a6a64526a0d975a8,ir9qia3my4,Ex2A_Prolific,1,1,2024-02-28T20:08:24+00:00,6.3037741184235,3,Stim_A.csv,Global.csv,Global,A,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested!",Initial_Instruct,Instruct1,6129,,,-1,-1,,,,,1
65a961d8a6a64526a0d975a8,ir9qia3my4,Ex2A_Prolific,1,2,2024-02-28T20:08:32+00:00,8.3735830783844,3,Stim_A.csv,Global.csv,Global,A,,,,,,0,Instruct,User,5,"After studying each LIST of words, you will be asked to rate your ability to remember ALL of the words in the list on a later test. You will make these ratings using a scale of 0 to 100. A rating of 0 = WILL NOT REMEMBER, while a rating of 100 = WILL DEFINITELY REMEMBER. Please try to be as accurate as possible with these ratings!",,BLIPBLOOP,8157,,,-1,-1,,,,,1
65a961d8a6a64526a0d975a8,ir9qia3my4,Ex2A_Prolific,1,3,2024-02-28T20:08:34+00:00,2.0588858127594,3,Stim_A.csv,Global.csv,Global,A,,,,,,0,Instruct,User,1.25,"You will now begin the study. Click next when you are ready to begin.",,Instruct16,1841,,,-1,-1,,,,,1
65a961d8a6a64526a0d975a8,ir9qia3my4,Ex2A_Prolific,1,4,2024-02-28T20:08:40+00:00,5.8908760547638,3,Stim_A.csv,Global.csv,Global,A,pane,,Win_1,,,2,Study,User,1.25,,Window,Win_1,5674,,,-1,-1,,,,,1
65a961d8a6a64526a0d975a8,ir9qia3my4,Ex2A_Prolific,1,5,2024-02-28T20:08:43+00:00,2.8493051528931,3,Stim_A.csv,Global.csv,Global,A,sill,,Win_2,,,3,Study,User,1.25,,Window,Win_2,2649,,,-1,-1,,,,,1
65a961d8a6a64526a0d975a8,ir9qia3my4,Ex2A_Prolific,1,6,2024-02-28T20:08:45+00:00,2.0378589630127,3,Stim_A.csv,Global.csv,Global,A,shutter,,Win_3,,,4,Study,User,1.25,,Window,Win_3,1829,,,-1,-1,,,,,1
65a961d8a6a64526a0d975a8,ir9qia3my4,Ex2A_Prolific,1,7,2024-02-28T20:08:47+00:00,2.3399159908295,3,Stim_A.csv,Global.csv,Global,A,curtain,,Win_4,,,5,Study,User,1.25,,Window,Win_4,2130,,,-1,-1,,,,,1
65a961d8a6a64526a0d975a8,ir9qia3my4,Ex2A_Prolific,1,8,2024-02-28T20:08:49+00:00,2.0437848567963,3,Stim_A.csv,Global.csv,Global,A,door,,Win_5,,,6,Study,User,1.25,,Window,Win_5,1844,,,-1,-1,,,,,1
65a961d8a6a64526a0d975a8,ir9qia3my4,Ex2A_Prolific,1,9,2024-02-28T20:08:54+00:00,4.4531080722809,3,Stim_A.csv,Global.csv,Global,A,ledge,,Win_6,,,7,Study,User,1.25,,Window,Win_6,4252,,,-1,-1,,,,,1
65a961d8a6a64526a0d975a8,ir9qia3my4,Ex2A_Prolific,1,10,2024-02-28T20:09:02+00:00,7.8658690452576,3,Stim_A.csv,Global.csv,Global,A,glass,,Win_7,,,8,Study,User,1.25,,Window,Win_7,7658,,,-1,-1,,,,,1
