Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
5abe9da9a3ba7a0001b46a18,fpz4w7f4q7,Ex2A_Prolific,1,1,2024-02-28T19:29:05+00:00,7.3288021087646,2,Stim_B.csv,Read.csv,Read,B,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested! Click next when you are ready to begin.",Initial_Instruct,Instruct1,6952,,,-1,-1,,,,1
5abe9da9a3ba7a0001b46a18,fpz4w7f4q7,Ex2A_Prolific,1,2,2024-02-28T19:29:10+00:00,5.6259028911591,2,Stim_B.csv,Read.csv,Read,B,,,,,,0,Instruct,User,-,"You will now begin the study. Click next when you are ready to begin.",,Instruct16,5200,,,-1,-1,,,,1
5abe9da9a3ba7a0001b46a18,fpz4w7f4q7,Ex2A_Prolific,1,3,2024-02-28T19:29:13+00:00,3.0931980609894,2,Stim_B.csv,Read.csv,Read,B,aroma,,Win_1,,,2,Study,User,1.25,,Window,Win_1,2312,,,-1,-1,,,,1
5abe9da9a3ba7a0001b46a18,fpz4w7f4q7,Ex2A_Prolific,1,4,2024-02-28T19:29:16+00:00,2.4619030952454,2,Stim_B.csv,Read.csv,Read,B,scent,,Win_2,,,3,Study,User,1.25,,Window,Win_2,2129,,,-1,-1,,,,1
5abe9da9a3ba7a0001b46a18,fpz4w7f4q7,Ex2A_Prolific,1,5,2024-02-28T19:29:19+00:00,3.0163338184357,2,Stim_B.csv,Read.csv,Read,B,whiff,,Win_3,,,4,Study,User,1.25,,Window,Win_3,2077,,,-1,-1,,,,1
5abe9da9a3ba7a0001b46a18,fpz4w7f4q7,Ex2A_Prolific,1,6,2024-02-28T19:29:21+00:00,2.5397369861603,2,Stim_B.csv,Read.csv,Read,B,stench,,Win_4,,,5,Study,User,1.25,,Window,Win_4,2041,,,-1,-1,,,,1
5abe9da9a3ba7a0001b46a18,fpz4w7f4q7,Ex2A_Prolific,1,7,2024-02-28T19:29:24+00:00,2.1818940639496,2,Stim_B.csv,Read.csv,Read,B,reek,,Win_5,,,6,Study,User,1.25,,Window,Win_5,1895,,,-1,-1,,,,1
5abe9da9a3ba7a0001b46a18,fpz4w7f4q7,Ex2A_Prolific,1,8,2024-02-28T19:29:26+00:00,2.8655409812927,2,Stim_B.csv,Read.csv,Read,B,sniff,,Win_6,,,7,Study,User,1.25,,Window,Win_6,2133,,,-1,-1,,,,1
5abe9da9a3ba7a0001b46a18,fpz4w7f4q7,Ex2A_Prolific,1,9,2024-02-28T19:29:29+00:00,2.4082281589508,2,Stim_B.csv,Read.csv,Read,B,perfume,,Win_7,,,8,Study,User,1.25,,Window,Win_7,1931,,,-1,-1,,,,1
5abe9da9a3ba7a0001b46a18,fpz4w7f4q7,Ex2A_Prolific,1,10,2024-02-28T19:29:32+00:00,3.1909549236298,2,Stim_B.csv,Read.csv,Read,B,fragrance,,Win_8,,,9,Study,User,1.25,,Window,Win_8,2244,,,-1,-1,,,,1
5abe9da9a3ba7a0001b46a18,fpz4w7f4q7,Ex2A_Prolific,1,11,2024-02-28T19:29:35+00:00,3.0375850200653,2,Stim_B.csv,Read.csv,Read,B,nose,,Win_9,,,10,Study,User,1.25,,Window,Win_9,2038,,,-1,-1,,,,1
5abe9da9a3ba7a0001b46a18,fpz4w7f4q7,Ex2A_Prolific,1,12,2024-02-28T19:29:37+00:00,2.2882390022278,2,Stim_B.csv,Read.csv,Read,B,rose,,Win_10,,,11,Study,User,1.25,,Window,Win_10,1864,,,-1,-1,,,,1
5abe9da9a3ba7a0001b46a18,fpz4w7f4q7,Ex2A_Prolific,1,13,2024-02-28T19:29:40+00:00,2.7144179344177,2,Stim_B.csv,Read.csv,Read,B,salts,,Win_11,,,12,Study,User,1.25,,Window,Win_11,1980,,,-1,-1,,,,1
