Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
KearaSchilling,j0pfvw68of,DRM1_MSU,1,1,2023-10-31T15:13:28+00:00,5.5521030426025,1,Stim_A.csv,Read.csv,Read,A,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested! Click next when you are ready to begin.",Initial_Instruct,Instruct1,,5313,,,-1,-1,,,,1
KearaSchilling,j0pfvw68of,DRM1_MSU,1,2,2023-10-31T15:13:29+00:00,1.6555440425873,1,Stim_A.csv,Read.csv,Read,A,,,,,,0,Instruct,User,-,"You will now begin the study. Click next when you are ready to begin.",,Instruct16,,1464,,,-1,-1,,,,1
KearaSchilling,j0pfvw68of,DRM1_MSU,1,3,2023-10-31T15:13:32+00:00,3.0633568763733,1,Stim_A.csv,Read.csv,Read,A,pane,,Win_1,,,2,Study,User,-,,Window,Win_1,,2907,,,-1,-1,,,,1
KearaSchilling,j0pfvw68of,DRM1_MSU,1,4,2023-10-31T15:13:34+00:00,2.0877521038055,1,Stim_A.csv,Read.csv,Read,A,sill,,Win_2,,,3,Study,User,-,,Window,Win_2,,1881,,,-1,-1,,,,1
KearaSchilling,j0pfvw68of,DRM1_MSU,1,5,2023-10-31T15:13:37+00:00,2.0685048103333,1,Stim_A.csv,Read.csv,Read,A,shutter,,Win_3,,,4,Study,User,-,,Window,Win_3,,1730,,,-1,-1,,,,1
KearaSchilling,j0pfvw68of,DRM1_MSU,1,6,2023-10-31T15:13:41+00:00,4.5818600654602,1,Stim_A.csv,Read.csv,Read,A,curtain,,Win_4,,,5,Study,User,-,,Window,Win_4,,4423,,,-1,-1,,,,1
KearaSchilling,j0pfvw68of,DRM1_MSU,1,7,2023-10-31T15:13:43+00:00,1.808012008667,1,Stim_A.csv,Read.csv,Read,A,door,,Win_5,,,6,Study,User,-,,Window,Win_5,,1643,,,-1,-1,,,,1
KearaSchilling,j0pfvw68of,DRM1_MSU,1,8,2023-10-31T15:13:52+00:00,8.608913898468,1,Stim_A.csv,Read.csv,Read,A,ledge,,Win_6,,,7,Study,User,-,,Window,Win_6,,8309,,,-1,-1,,,,1
KearaSchilling,j0pfvw68of,DRM1_MSU,1,9,2023-10-31T15:13:54+00:00,2.9710071086884,1,Stim_A.csv,Read.csv,Read,A,glass,,Win_7,,,8,Study,User,-,,Window,Win_7,,2798,,,-1,-1,,,,1
KearaSchilling,j0pfvw68of,DRM1_MSU,1,10,2023-10-31T15:13:57+00:00,2.1611709594727,1,Stim_A.csv,Read.csv,Read,A,view,,Win_8,,,9,Study,User,-,,Window,Win_8,,2000,,,-1,-1,,,,1
