"Username","Stimuli.Answer","Stimuli.Stimuli.Notes","Response.JOL","Direction","Encoding","scored"
"M20330660_MLM","Apple","Control",NA,"Control","Global_JOL",1
"M20326622","Apple","Control",NA,"Control","Global_JOL",1
"M20301881_GM","Apple","Control",NA,"Control","Global_JOL",1
"M20322859","Apple","Control",NA,"Control","Global_JOL",1
"M20321343!","Apple","Control",NA,"Control","Global_JOL",0
"M20302792","Apple","Control",NA,"Control","Global_JOL",1
"m20320237","Apple","Control",NA,"Control","Global_JOL",1
"20322965","Apple","Control",NA,"Control","Global_JOL",1
"M20308397","Apple","Control",NA,"Control","Global_JOL",1
"M20322696_MNC","Apple","Control",NA,"Control","Global_JOL",1
"M20337010","Apple","Control",NA,"Control","Global_JOL",1
"M20317351","Apple","Control",NA,"Control","Global_JOL",1
"m20327174","Apple","Control",NA,"Control","Global_JOL",0
"M10356731","Apple","Control",NA,"Control","Global_JOL",1
"M20315390_JKL","Apple","Control",NA,"Control","Global_JOL",1
"M20321748","Apple","Control",NA,"Control","Global_JOL",1
"20322939","Apple","Control",NA,"Control","Global_JOL",0
"M20315108","Apple","Control",NA,"Control","Global_JOL",1
"M20295968","Apple","Control",NA,"Control","Global_JOL",1
"M20316174","Apple","Control",NA,"Control","Global_JOL",1
"M20326354_SNC.","Apple","Control",NA,"Control","Global_JOL",1
"M20322859","Attic","Control",NA,"Control","Global_JOL",1
"m20320237","Attic","Control",NA,"Control","Global_JOL",1
"M20321343!","Attic","Control",NA,"Control","Global_JOL",1
"M20302792","Attic","Control",NA,"Control","Global_JOL",1
"M20308397","Attic","Control",NA,"Control","Global_JOL",1
"M20301881_GM","Attic","Control",NA,"Control","Global_JOL",1
"M10356731","Attic","Control",NA,"Control","Global_JOL",1
"M20326622","Attic","Control",NA,"Control","Global_JOL",1
"M20316174","Attic","Control",NA,"Control","Global_JOL",1
"M20326354_SNC.","Attic","Control",NA,"Control","Global_JOL",1
"M20330660_MLM","Attic","Control",NA,"Control","Global_JOL",1
"M20315390_JKL","Attic","Control",NA,"Control","Global_JOL",1
"M20321748","Attic","Control",NA,"Control","Global_JOL",1
"m20327174","Attic","Control",NA,"Control","Global_JOL",1
"M20317351","Attic","Control",NA,"Control","Global_JOL",1
"M20295968","Attic","Control",NA,"Control","Global_JOL",1
"M20337010","Attic","Control",NA,"Control","Global_JOL",0
"20322965","Attic","Control",NA,"Control","Global_JOL",0
"20322939","Attic","Control",NA,"Control","Global_JOL",1
"M20322696_MNC","Attic","Control",NA,"Control","Global_JOL",1
"M20315108","Attic","Control",NA,"Control","Global_JOL",0
"M10356731","Ballet","Presented",NA,"Unrelated","Global_JOL",1
"20322965","Ballet","Presented",NA,"Unrelated","Global_JOL",1
"M20295968","Ballet","Presented",NA,"Unrelated","Global_JOL",1
"M20308397","Ballet","Presented",NA,"Unrelated","Global_JOL",1
"20322939","Ballet","Presented",NA,"Unrelated","Global_JOL",1
"m20320237","Ballet","Presented",NA,"Unrelated","Global_JOL",1
