Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,1,2023-11-01T04:22:10+00:00,38.291432857513,10,Stim_B.csv,Read_A.csv,"Read B",Read,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested! Click next to continue.",Initial_Instruct,Instruct1,,37713,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,2,2023-11-01T04:22:15+00:00,5.4327480792999,10,Stim_B.csv,Read_A.csv,"Read B",Read,,,,,,0,Instruct,User,-,"You will now begin the study. Click next when you are ready to begin.",,Instruct16,,4662,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,3,2023-11-01T04:22:22+00:00,6.9573299884796,10,Stim_B.csv,Read_A.csv,"Read B",Read,Kiwi,Kiwi,R1,Related,8,7,Study,User,-,,Related,R1,,5535,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,4,2023-11-01T04:22:32+00:00,10.161977052689,10,Stim_B.csv,Read_A.csv,"Read B",Read,Banana,Banana,R1,Related,3,4,Study,User,-,,Related,R1,,9698,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,5,2023-11-01T04:22:37+00:00,4.484561920166,10,Stim_B.csv,Read_A.csv,"Read B",Read,Lemon,Lemon,R1,Related,12,12,Study,User,-,,Related,R1,,4135,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,6,2023-11-01T04:22:41+00:00,4.1818780899048,10,Stim_B.csv,Read_A.csv,"Read B",Read,Strawberry,Strawberry,R1,Related,7,11,Study,User,-,,Related,R1,,3757,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,7,2023-11-01T04:22:44+00:00,2.7041449546814,10,Stim_B.csv,Read_A.csv,"Read B",Read,Orange,Orange,R1,Related,2,10,Study,User,-,,Related,R1,,2257,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,8,2023-11-01T04:22:47+00:00,3.1290340423584,10,Stim_B.csv,Read_A.csv,"Read B",Read,Grape,Grape,R1,Related,4,13,Study,User,-,,Related,R1,,2808,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,9,2023-11-01T04:22:49+00:00,2.6941738128662,10,Stim_B.csv,Read_A.csv,"Read B",Read,Peach,Peach,R1,Related,6,3,Study,User,-,,Related,R1,,2167,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,10,2023-11-01T04:22:52+00:00,2.5427911281586,10,Stim_B.csv,Read_A.csv,"Read B",Read,Cherry,Cherry,R1,Related,11,2,Study,User,-,,Related,R1,,2168,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,11,2023-11-01T04:22:56+00:00,4.393159866333,10,Stim_B.csv,Read_A.csv,"Read B",Read,Mango,Mango,R1,Related,10,6,Study,User,-,,Related,R1,,4060,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,12,2023-11-01T04:23:00+00:00,3.3549830913544,10,Stim_B.csv,Read_A.csv,"Read B",Read,Apple,Apple,R1,Related,1,9,Study,User,-,,Related,R1,,3014,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,13,2023-11-01T04:23:13+00:00,13.226583003998,10,Stim_B.csv,Read_A.csv,"Read B",Read,Pear,Pear,R1,Related,5,8,Study,User,-,,Related,R1,,12405,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,14,2023-11-01T04:24:02+00:00,49.029237985611,10,Stim_B.csv,Read_A.csv,"Read B",Read,Plum,Plum,R1,Related,9,5,Study,User,-,,Related,R1,,48430,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,15,2023-11-01T04:24:08+00:00,5.9014959335327,10,Stim_B.csv,Read_A.csv,"Read B",Read,,,,,,0,Instruct,User,3,"You will now be presented with a new study list. Click next when you are ready to begin.",,NEXT_LIST,,5339,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,16,2023-11-01T04:24:12+00:00,4.0034911632538,10,Stim_B.csv,Read_A.csv,"Read B",Read,Bed,Bed,U1,Unrelated,14,16,Study,User,-,,Unrelated,U1,,3632,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,17,2023-11-01T04:24:15+00:00,3.1086418628693,10,Stim_B.csv,Read_A.csv,"Read B",Read,Frog,Frog,U1,Unrelated,13,24,Study,User,-,,Unrelated,U1,,2633,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,18,2023-11-01T04:24:17+00:00,2.2447531223297,10,Stim_B.csv,Read_A.csv,"Read B",Read,Flea,Flea,U1,Unrelated,21,18,Study,User,-,,Unrelated,U1,,1922,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,19,2023-11-01T04:24:20+00:00,2.7537369728088,10,Stim_B.csv,Read_A.csv,"Read B",Read,Shirt,Shirt,U1,Unrelated,18,23,Study,User,-,,Unrelated,U1,,2421,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,20,2023-11-01T04:24:23+00:00,3.1436789035797,10,Stim_B.csv,Read_A.csv,"Read B",Read,Mint,Mint,U1,Unrelated,17,25,Study,User,-,,Unrelated,U1,,2783,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,21,2023-11-01T04:24:25+00:00,2.2017800807953,10,Stim_B.csv,Read_A.csv,"Read B",Read,Hawk,Hawk,U1,Unrelated,24,19,Study,User,-,,Unrelated,U1,,1871,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,22,2023-11-01T04:24:29+00:00,3.4399490356445,10,Stim_B.csv,Read_A.csv,"Read B",Read,Bean,Bean,U1,Unrelated,22,15,Study,User,-,,Unrelated,U1,,3109,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,23,2023-11-01T04:24:31+00:00,2.7149419784546,10,Stim_B.csv,Read_A.csv,"Read B",Read,Slow,Slow,U1,Unrelated,23,21,Study,User,-,,Unrelated,U1,,2392,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,24,2023-11-01T04:24:33+00:00,2.0536179542542,10,Stim_B.csv,Read_A.csv,"Read B",Read,Document,Document,U1,Unrelated,15,17,Study,User,-,,Unrelated,U1,,1711,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,25,2023-11-01T04:24:36+00:00,2.9476220607758,10,Stim_B.csv,Read_A.csv,"Read B",Read,Kayak,Kayak,U1,Unrelated,20,20,Study,User,-,,Unrelated,U1,,2494,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,26,2023-11-01T04:24:39+00:00,2.418436050415,10,Stim_B.csv,Read_A.csv,"Read B",Read,Yellow,Yellow,U1,Unrelated,19,22,Study,User,-,,Unrelated,U1,,1903,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,27,2023-11-01T04:24:42+00:00,2.8589489459991,10,Stim_B.csv,Read_A.csv,"Read B",Read,Dirt,Dirt,U1,Unrelated,16,14,Study,User,-,,Unrelated,U1,,2498,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,28,2023-11-01T04:24:49+00:00,7.1025199890137,10,Stim_B.csv,Read_A.csv,"Read B",Read,,,,,,0,Instruct,User,3,"You will now be presented with a new study list. Click next when you are ready to begin.",,NEXT_LIST,,6543,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,29,2023-11-01T04:24:51+00:00,2.6418058872223,10,Stim_B.csv,Read_A.csv,"Read B",Read,Attic,Attic,R2,Related,34,33,Study,User,-,,Related,R2,,2305,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,30,2023-11-01T04:24:53+00:00,1.8420350551605,10,Stim_B.csv,Read_A.csv,"Read B",Read,Bathroom,Bathroom,R2,Related,27,30,Study,User,-,,Related,R2,,1510,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,31,2023-11-01T04:24:56+00:00,2.5843629837036,10,Stim_B.csv,Read_A.csv,"Read B",Read,Window,Window,R2,Related,28,26,Study,User,-,,Related,R2,,2274,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,32,2023-11-01T04:24:59+00:00,2.8156061172485,10,Stim_B.csv,Read_A.csv,"Read B",Read,Elevator,Elevator,R2,Related,33,35,Study,User,-,,Related,R2,,2460,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,33,2023-11-01T04:25:01+00:00,2.0476989746094,10,Stim_B.csv,Read_A.csv,"Read B",Read,Wall,Wall,R2,Related,29,28,Study,User,-,,Related,R2,,1711,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,34,2023-11-01T04:25:02+00:00,1.798063993454,10,Stim_B.csv,Read_A.csv,"Read B",Read,Ceiling,Ceiling,R2,Related,25,37,Study,User,-,,Related,R2,,1426,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,35,2023-11-01T04:25:06+00:00,3.110368013382,10,Stim_B.csv,Read_A.csv,"Read B",Read,Roof,Roof,R2,Related,36,27,Study,User,-,,Related,R2,,2756,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,36,2023-11-01T04:25:09+00:00,3.2597508430481,10,Stim_B.csv,Read_A.csv,"Read B",Read,Door,Door,R2,Related,30,31,Study,User,-,,Related,R2,,2864,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,37,2023-11-01T04:25:11+00:00,2.3970160484314,10,Stim_B.csv,Read_A.csv,"Read B",Read,Hallway,Hallway,R2,Related,35,32,Study,User,-,,Related,R2,,2075,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,38,2023-11-01T04:25:14+00:00,2.8058750629425,10,Stim_B.csv,Read_A.csv,"Read B",Read,Basement,Basement,R2,Related,26,36,Study,User,-,,Related,R2,,2460,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,39,2023-11-01T04:25:17+00:00,2.6206450462341,10,Stim_B.csv,Read_A.csv,"Read B",Read,Stairs,Stairs,R2,Related,32,34,Study,User,-,,Related,R2,,2277,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,40,2023-11-01T04:25:19+00:00,2.3104178905487,10,Stim_B.csv,Read_A.csv,"Read B",Read,Floor,Floor,R2,Related,31,29,Study,User,-,,Related,R2,,1975,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,41,2023-11-01T04:25:23+00:00,3.9403269290924,10,Stim_B.csv,Read_A.csv,"Read B",Read,,,,,,0,Instruct,User,3,"You will now be presented with a new study list. Click next when you are ready to begin.",,NEXT_LIST,,3616,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,42,2023-11-01T04:25:25+00:00,2.5462701320648,10,Stim_B.csv,Read_A.csv,"Read B",Read,Cloud,Cloud,U2,Unrelated,40,38,Study,User,-,,Unrelated,U2,,2222,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,43,2023-11-01T04:25:28+00:00,2.1544239521027,10,Stim_B.csv,Read_A.csv,"Read B",Read,Tent,Tent,U2,Unrelated,46,43,Study,User,-,,Unrelated,U2,,1824,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,44,2023-11-01T04:25:31+00:00,3.013463973999,10,Stim_B.csv,Read_A.csv,"Read B",Read,Drill,Drill,U2,Unrelated,45,45,Study,User,-,,Unrelated,U2,,2596,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,45,2023-11-01T04:25:34+00:00,3.5130240917206,10,Stim_B.csv,Read_A.csv,"Read B",Read,Card,Card,U2,Unrelated,37,44,Study,User,-,,Unrelated,U2,,3107,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,46,2023-11-01T04:25:37+00:00,2.3478078842163,10,Stim_B.csv,Read_A.csv,"Read B",Read,Rest,Rest,U2,Unrelated,48,41,Study,User,-,,Unrelated,U2,,2031,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,47,2023-11-01T04:25:39+00:00,2.2919709682465,10,Stim_B.csv,Read_A.csv,"Read B",Read,Fossil,Fossil,U2,Unrelated,43,39,Study,User,-,,Unrelated,U2,,1778,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,48,2023-11-01T04:25:42+00:00,2.7823171615601,10,Stim_B.csv,Read_A.csv,"Read B",Read,Mother,Mother,U2,Unrelated,44,47,Study,User,-,,Unrelated,U2,,2449,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,49,2023-11-01T04:25:45+00:00,3.4574339389801,10,Stim_B.csv,Read_A.csv,"Read B",Read,Salt,Salt,U2,Unrelated,39,42,Study,User,-,,Unrelated,U2,,3153,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,50,2023-11-01T04:25:47+00:00,2.3491449356079,10,Stim_B.csv,Read_A.csv,"Read B",Read,Phone,Phone,U2,Unrelated,47,49,Study,User,-,,Unrelated,U2,,2029,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,51,2023-11-01T04:25:51+00:00,3.8834280967712,10,Stim_B.csv,Read_A.csv,"Read B",Read,Cook,Cook,U2,Unrelated,42,48,Study,User,-,,Unrelated,U2,,3492,,,-1,-1,,,,1
M20320646,pon828s743,"DRM Reactivity 1_MSU",1,52,2023-11-01T04:25:53+00:00,1.4717719554901,10,Stim_B.csv,Read_A.csv,"Read B",Read,Basket,Basket,U2,Unrelated,41,46,Study,User,-,,Unrelated,U2,,1155,,,-1,-1,,,,1
