Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
M20331476,o1hh48f41h,"DRM Reactivity 1_MSU",1,1,2023-11-20T05:18:50+00:00,13.22710609436,5,Stim_A.csv,I_JOL_A.csv,"Item A",Item,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested! Click next to continue.",Initial_Instruct,Instruct1,,12860,,,-1,-1,,,,,1
M20331476,o1hh48f41h,"DRM Reactivity 1_MSU",1,2,2023-11-20T05:19:05+00:00,15.558025836945,5,Stim_A.csv,I_JOL_A.csv,"Item A",Item,,,,,,0,Instruct,-,5,"As you study, you will be asked to rate your ability to remember each word on a later test using a 0-100 scale.","JOL instruct",JOL_Instruct,,15073,,,-1,-1,,,,,1
M20331476,o1hh48f41h,"DRM Reactivity 1_MSU",1,3,2023-11-20T05:19:17+00:00,11.670523166656,5,Stim_A.csv,I_JOL_A.csv,"Item A",Item,,,,,,0,Instruct,User,10,"Your memory will now be tested. You will be presented with a series of words. If the word on the screen was previously studied, please select YES. If the word was not studied, select NO. PLEASE DO NOT SKIP ITEMS! Click next when you are ready to begin.",,,,11196,,,-1,-1,,,,,1
M20331476,o1hh48f41h,"DRM Reactivity 1_MSU",1,4,2023-11-20T05:19:25+00:00,8.2876558303833,5,Stim_A.csv,I_JOL_A.csv,"Item A",Item,,,,,,0,Instruct,User,-,"You will now begin the study. Click next when you are ready to begin.",,Instruct16,,7895,,,-1,-1,,,,,1
M20331476,o1hh48f41h,"DRM Reactivity 1_MSU",1,5,2023-11-20T05:20:50+00:00,84.699683189392,5,Stim_A.csv,I_JOL_A.csv,"Item A",Item,Island,Island,R1,Related,9,8,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Related,R1,,84279,,,82623,82750,,,,50,1
M20331476,o1hh48f41h,"DRM Reactivity 1_MSU",1,6,2023-11-20T05:20:53+00:00,3.5795459747314,5,Stim_A.csv,I_JOL_A.csv,"Item A",Item,Canyon,Canyon,R1,Related,3,12,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Related,R1,,3261,,,1724,1868,,,,50,1
M20331476,o1hh48f41h,"DRM Reactivity 1_MSU",1,7,2023-11-20T05:20:56+00:00,2.4924540519714,5,Stim_A.csv,I_JOL_A.csv,"Item A",Item,Volcano,Volcano,R1,Related,4,13,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Related,R1,,2215,,,609,745,,,,50,1
M20331476,o1hh48f41h,"DRM Reactivity 1_MSU",1,8,2023-11-20T05:20:58+00:00,1.7039918899536,5,Stim_A.csv,I_JOL_A.csv,"Item A",Item,Rock,Rock,R1,Related,5,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Related,R1,,1356,,,288,493,,,,50,1
M20331476,o1hh48f41h,"DRM Reactivity 1_MSU",1,9,2023-11-20T05:20:59+00:00,1.9355430603027,5,Stim_A.csv,I_JOL_A.csv,"Item A",Item,Hill,Hill,R1,Related,6,11,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Related,R1,,1472,,,298,504,,,,50,1
M20331476,o1hh48f41h,"DRM Reactivity 1_MSU",1,10,2023-11-20T05:21:06+00:00,6.7556049823761,5,Stim_A.csv,I_JOL_A.csv,"Item A",Item,Glacier,Glacier,R1,Related,12,7,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Related,R1,,6457,,,172,4047,,,,50,1
