Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
20335770,vn1rp14fqw,"DRM Reactivity 1_MSU",1,1,2023-11-20T02:06:56+00:00,6.5056331157684,2,Stim_B.csv,G_JOL_A.csv,"Global B",Global,,,,,,0,Instruct,User,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested! Click next to continue.",Initial_Instruct,Instruct1,,6157,,,-1,-1,,,,,1
20335770,vn1rp14fqw,"DRM Reactivity 1_MSU",1,2,2023-11-20T02:07:05+00:00,8.2314219474792,2,Stim_B.csv,G_JOL_A.csv,"Global B",Global,,,,,,0,Instruct,User,5,"After studying each set of words, you will be asked to rate your ability to remember all of the words on a later test. You will make these ratings using a scale of 0 to 100. A rating of 0 = WILL NOT REMEMBER, while a rating of 100 = WILL DEFINITELY REMEMBER. Please try to be as accurate as possible with these ratings!",,,,8025,,,-1,-1,,,,,1
20335770,vn1rp14fqw,"DRM Reactivity 1_MSU",1,3,2023-11-20T02:07:08+00:00,3.3073871135712,2,Stim_B.csv,G_JOL_A.csv,"Global B",Global,,,,,,0,Instruct,User,-,"You will now begin the study. Click next when you are ready to begin.",,Instruct16,,3087,,,-1,-1,,,,,1
20335770,vn1rp14fqw,"DRM Reactivity 1_MSU",1,4,2023-11-20T02:07:11+00:00,2.9354109764099,2,Stim_B.csv,G_JOL_A.csv,"Global B",Global,Plum,Plum,R1,Related,9,3,Study,User,-,,Related,R1,,2683,,,-1,-1,,,,,1
20335770,vn1rp14fqw,"DRM Reactivity 1_MSU",1,5,2023-11-20T02:07:12+00:00,1.4746398925781,2,Stim_B.csv,G_JOL_A.csv,"Global B",Global,Grape,Grape,R1,Related,4,6,Study,User,-,,Related,R1,,1224,,,-1,-1,,,,,1
20335770,vn1rp14fqw,"DRM Reactivity 1_MSU",1,6,2023-11-20T02:07:14+00:00,1.2167301177979,2,Stim_B.csv,G_JOL_A.csv,"Global B",Global,Peach,Peach,R1,Related,6,13,Study,User,-,,Related,R1,,905,,,-1,-1,,,,,1
20335770,vn1rp14fqw,"DRM Reactivity 1_MSU",1,7,2023-11-20T02:07:15+00:00,0.95777082443237,2,Stim_B.csv,G_JOL_A.csv,"Global B",Global,Banana,Banana,R1,Related,3,2,Study,User,-,,Related,R1,,698,,,-1,-1,,,,,1
20335770,vn1rp14fqw,"DRM Reactivity 1_MSU",1,8,2023-11-20T02:07:25+00:00,10.558754205704,2,Stim_B.csv,G_JOL_A.csv,"Global B",Global,Lemon,Lemon,R1,Related,12,12,Study,User,-,,Related,R1,,9742,,,-1,-1,,,,,1
20335770,vn1rp14fqw,"DRM Reactivity 1_MSU",1,9,2023-11-20T02:07:26+00:00,0.79068994522095,2,Stim_B.csv,G_JOL_A.csv,"Global B",Global,Cherry,Cherry,R1,Related,11,5,Study,User,-,,Related,R1,,509,,,-1,-1,,,,,1
20335770,vn1rp14fqw,"DRM Reactivity 1_MSU",1,10,2023-11-20T02:07:27+00:00,0.70149898529053,2,Stim_B.csv,G_JOL_A.csv,"Global B",Global,Kiwi,Kiwi,R1,Related,8,9,Study,User,-,,Related,R1,,469,,,-1,-1,,,,,1
